source,language,form,gloss,family,latitude,longitude,Australia/Pacific,Number
CLICS103,Mand,wukɨp,BAMBOO,Nuclear Trans New Guinea,-5.08137,144.806,Pacific,0.606655539270577
CLICS155,Manat,buɣɨr,BAMBOO,Nuclear Trans New Guinea,-4.94303,144.879,Pacific,0.00513884851785487
CLICS149,Nend,aɣai,BAMBOO,Nuclear Trans New Guinea,-5.04271,144.886,Pacific,0.072561604488516
CLICS176,Utarmbung,wuku-,BAMBOO,Nuclear Trans New Guinea,-4.82756,144.924,Pacific,0.0761552523309972
CLICS180,Wadaginam,wukəp,BAMBOO,Nuclear Trans New Guinea,-4.52754,144.972,Pacific,0.0498463030376019
CLICS141,Moresada,wukʉpa,BAMBOO,Nuclear Trans New Guinea,-4.57497,144.988,Pacific,0.799808220264114
CLICS98,Anamuxra,wʉkʉ,BAMBOO,Nuclear Trans New Guinea,-4.63762,144.991,Pacific,0.323543439657319
CLICS100,Apali,sɨɣai,BAMBOO,Nuclear Trans New Guinea,-5.1727,145.023,Pacific,0.687382281454907
CLICS131,Mala (Papua New Guinea),bu,BAMBOO,Nuclear Trans New Guinea,-4.35889,145.04,Pacific,0.446006502395965
CLICS97,Anam,wʉkʉ,BAMBOO,Nuclear Trans New Guinea,-4.68869,145.051,Pacific,0.600633169219212
CLICS143,Mum,pʉkʉ,BAMBOO,Nuclear Trans New Guinea,-4.83462,145.059,Pacific,0.82694158495196
CLICS146,Aisi,ʌm,BAMBOO,Nuclear Trans New Guinea,-5.37407,145.197,Pacific,0.344835257776425
CLICS166,Sileibi,pɨkɨ,BAMBOO,Nuclear Trans New Guinea,-4.98243,145.225,Pacific,0.382492535604651
CLICS152,Pal,ye,BAMBOO,Nuclear Trans New Guinea,-4.756,145.24,Pacific,0.149283983188132
CLICS138,Miani,yabui,BAMBOO,Nuclear Trans New Guinea,-4.42116,145.276,Pacific,0.20728328356061
CLICS136,Mawak,furu,BAMBOO,Nuclear Trans New Guinea,-4.61817,145.283,Pacific,0.192441165602402
CLICS127,Kobol,umi,BAMBOO,Nuclear Trans New Guinea,-4.79614,145.284,Pacific,0.43989831512099
CLICS153,Pamosu,fulu,BAMBOO,Nuclear Trans New Guinea,-4.69874,145.288,Pacific,0.714929655939125
CLICS114,Kulsab,ɛmɛ,BAMBOO,Nuclear Trans New Guinea,-5.59947,145.298,Pacific,0.273911019316345
CLICS110,Biyom,wasawu,BAMBOO,Nuclear Trans New Guinea,-5.79929,145.348,Pacific,0.434862865305341
CLICS170,Sop,ko:b,BAMBOO,Nuclear Trans New Guinea,-5.49605,145.361,Pacific,0.22851251354834
CLICS187,Yaben,kanu,BAMBOO,Nuclear Trans New Guinea,-4.90868,145.361,Pacific,0.0268488295840353
CLICS175,Usan,ain,BAMBOO,Nuclear Trans New Guinea,-4.84265,145.362,Pacific,0.166675227941341
CLICS172,Tauya,amo,BAMBOO,Nuclear Trans New Guinea,-5.74255,145.366,Pacific,0.917215186593185
CLICS95,Amaimon,seŋi,BAMBOO,Nuclear Trans New Guinea,-5.18742,145.368,Pacific,0.473861131817093
CLICS135,Mauwake,pia,BAMBOO,Nuclear Trans New Guinea,-4.52416,145.394,Pacific,0.265787476291876
CLICS129,Kowaki,hereme,BAMBOO,Nuclear Trans New Guinea,-4.63032,145.412,Pacific,0.446205081432705
CLICS147,Musar,maŋgia,BAMBOO,Nuclear Trans New Guinea,-4.70258,145.413,Pacific,0.760406255220051
CLICS183,Wanambre,ulu,BAMBOO,Nuclear Trans New Guinea,-4.78822,145.419,Pacific,0.28385469723455
CLICS119,Girawa,or,BAMBOO,Nuclear Trans New Guinea,-5.35342,145.423,Pacific,0.146443689504495
CLICS108,Bepour,hate,BAMBOO,Nuclear Trans New Guinea,-4.5985,145.442,Pacific,0.116356859910633
CLICS190,Yarawata,yakute,BAMBOO,Nuclear Trans New Guinea,-4.93943,145.454,Pacific,0.955214517786019
CLICS113,Danaru,kaŋg,BAMBOO,Nuclear Trans New Guinea,-5.53634,145.457,Pacific,0.903714925520922
CLICS140,Moere,pimer,BAMBOO,Nuclear Trans New Guinea,-4.62246,145.458,Pacific,0.728030676777016
CLICS121,Isabi,ke,BAMBOO,Nuclear Trans New Guinea,-5.83809,145.462,Pacific,0.808926940552227
CLICS178,Uya,bɔːl,BAMBOO,Nuclear Trans New Guinea,-5.32246,145.47,Pacific,0.107883177537074
CLICS171,Sumau,obu,BAMBOO,Nuclear Trans New Guinea,-5.48556,145.474,Pacific,0.59667413367919
CLICS125,Kein,ar,BAMBOO,Nuclear Trans New Guinea,-5.3373,145.483,Pacific,0.0473594540351749
CLICS164,Sausi,piza,BAMBOO,Nuclear Trans New Guinea,-5.6873,145.492,Pacific,0.335304791878206
CLICS124,Kare (Papua New Guinea),bʌːra,BAMBOO,Nuclear Trans New Guinea,-5.07674,145.499,Pacific,0.645597117169543
CLICS174,Urigina,wɛm,BAMBOO,Nuclear Trans New Guinea,-5.58982,145.507,Pacific,0.936415448286163
CLICS173,Ukuriguma,yakan,BAMBOO,Nuclear Trans New Guinea,-4.94407,145.514,Pacific,0.0572743340973952
CLICS128,Korak,dab,BAMBOO,Nuclear Trans New Guinea,-4.5998,145.514,Pacific,0.979642417578936
CLICS162,Samosa,ka:rɛ,BAMBOO,Nuclear Trans New Guinea,-5.01391,145.537,Pacific,0.802219736737729
CLICS182,Wamas,ka:r,BAMBOO,Nuclear Trans New Guinea,-4.97757,145.541,Pacific,0.970555897207743
CLICS177,Utu,ar,BAMBOO,Nuclear Trans New Guinea,-5.16422,145.544,Pacific,0.573764307330829
CLICS144,Munit,ɛndu,BAMBOO,Nuclear Trans New Guinea,-5.24329,145.548,Pacific,0.662693587150891
CLICS102,Asas,bɛsɛ,BAMBOO,Nuclear Trans New Guinea,-5.69345,145.549,Pacific,0.506861420076903
CLICS109,Bilakura,a:n,BAMBOO,Nuclear Trans New Guinea,-4.93116,145.559,Pacific,0.926597532994794
CLICS112,Brem,bik,BAMBOO,Nuclear Trans New Guinea,-4.67372,145.562,Pacific,0.0627396935952383
CLICS165,Sihan,ɛhun,BAMBOO,Nuclear Trans New Guinea,-5.28029,145.574,Pacific,0.66157607488719
CLICS163,Saruga,a:ru,BAMBOO,Nuclear Trans New Guinea,-5.08824,145.578,Pacific,0.473483715990248
CLICS126,Kesawai,ei,BAMBOO,Nuclear Trans New Guinea,-5.76797,145.58,Pacific,0.616360574667499
CLICS167,Silopi,ʔa:r,BAMBOO,Nuclear Trans New Guinea,-5.12302,145.586,Pacific,0.781445417399331
CLICS137,Mawan,ʔɛf,BAMBOO,Nuclear Trans New Guinea,-5.2219,145.589,Pacific,0.292533552705371
CLICS168,Sinsauru,pese,BAMBOO,Nuclear Trans New Guinea,-5.64336,145.599,Pacific,0.682069787931949
CLICS142,Mosimo,ka:r,BAMBOO,Nuclear Trans New Guinea,-4.95226,145.605,Pacific,0.638226554722373
CLICS105,Baimak,ɛf,BAMBOO,Nuclear Trans New Guinea,-5.18943,145.606,Pacific,0.343299784763098
CLICS145,Murupi,a:ru,BAMBOO,Nuclear Trans New Guinea,-5.0245,145.606,Pacific,0.116243961692279
CLICS107,Bau,ɛt,BAMBOO,Nuclear Trans New Guinea,-5.26465,145.611,Pacific,0.429893775852353
CLICS134,Matepi,ʌr̃,BAMBOO,Nuclear Trans New Guinea,-5.13857,145.617,Pacific,0.434330734192044
CLICS120,Gumalu,ɛt,BAMBOO,Nuclear Trans New Guinea,-5.22189,145.618,Pacific,0.397685334124874
CLICS132,Malas,suap,BAMBOO,Nuclear Trans New Guinea,-4.76685,145.621,Pacific,0.769337700869399
CLICS115,Gal,ʔɛh,BAMBOO,Nuclear Trans New Guinea,-5.16351,145.623,Pacific,0.991666259950034
CLICS186,Kwato,kɛrio,BAMBOO,Nuclear Trans New Guinea,-5.53799,145.629,Pacific,0.358458564880227
CLICS104,Bagupi,ar,BAMBOO,Nuclear Trans New Guinea,-5.07778,145.632,Pacific,0.109847394232929
CLICS179,Duduela,bor̃ea,BAMBOO,Nuclear Trans New Guinea,-5.43119,145.642,Pacific,0.866371708430774
CLICS185,Dumpu,kiː,BAMBOO,Nuclear Trans New Guinea,-5.82002,145.655,Pacific,0.784670397618997
CLICS148,Nake,gor̃op,BAMBOO,Nuclear Trans New Guinea,-5.09087,145.655,Pacific,0.109731633943366
CLICS157,Rapting,aruk,BAMBOO,Nuclear Trans New Guinea,-4.99351,145.671,Pacific,0.246761777120999
CLICS118,Dimir,bimbuŋ,BAMBOO,Nuclear Trans New Guinea,-4.8296,145.676,Pacific,0.877004416102473
CLICS117,Garus,aruk,BAMBOO,Nuclear Trans New Guinea,-4.9222,145.683,Pacific,0.215197556734289
CLICS96,Amele,wadup,BAMBOO,Nuclear Trans New Guinea,-5.29126,145.687,Pacific,0.927699756966839
CLICS122,Isebe,ɛd,BAMBOO,Nuclear Trans New Guinea,-5.20719,145.691,Pacific,0.726038402743208
CLICS123,Jilim,kob,BAMBOO,Nuclear Trans New Guinea,-5.56611,145.706,Pacific,0.711214191440042
CLICS151,Ogea,borɛa,BAMBOO,Nuclear Trans New Guinea,-5.37766,145.71,Pacific,0.437833584996457
CLICS150,Nobonob,din,BAMBOO,Nuclear Trans New Guinea,-5.06952,145.712,Pacific,0.72929312491906
CLICS159,Rerau,kumbu,BAMBOO,Nuclear Trans New Guinea,-5.51361,145.716,Pacific,0.834976338295574
CLICS99,Anjam,yumba,BAMBOO,Nuclear Trans New Guinea,-5.45899,145.717,Pacific,0.959109432494985
CLICS181,Wagi (Papua New Guinea),karu:g,BAMBOO,Nuclear Trans New Guinea,-5.17834,145.726,Pacific,0.87849845890114
CLICS156,Pulabu,ko,BAMBOO,Nuclear Trans New Guinea,-5.59558,145.738,Pacific,0.507298806404837
CLICS154,Panim,æd,BAMBOO,Nuclear Trans New Guinea,-5.21388,145.752,Pacific,0.401052932862843
CLICS106,Bargam,kaduk,BAMBOO,Nuclear Trans New Guinea,-4.8723,145.756,Pacific,0.770241775735071
CLICS133,Male (Papua New Guinea),yumbʌr,BAMBOO,Nuclear Trans New Guinea,-5.49975,145.757,Pacific,0.936404456658786
CLICS191,Yoidik,aduk,BAMBOO,Nuclear Trans New Guinea,-4.94044,145.758,Pacific,0.901843955871078
CLICS158,Rempi,biːd,BAMBOO,Nuclear Trans New Guinea,-5.02487,145.782,Pacific,0.345989505528034
CLICS111,Bongu,nʌu,BAMBOO,Nuclear Trans New Guinea,-5.50519,145.806,Pacific,0.826250340590482
CLICS161,Sam,bʌr̃,BAMBOO,Nuclear Trans New Guinea,-5.55572,145.813,Pacific,0.912947529036292
CLICS189,Yangulam,kiem,BAMBOO,Nuclear Trans New Guinea,-5.52697,145.858,Pacific,0.0899563112228429
CLICS101,Arawum,komde,BAMBOO,Nuclear Trans New Guinea,-5.52787,145.903,Pacific,0.227668810163364
CLICS93,Takia,sduk,the bamboo,Austronesian,-4.69057,145.975,Pacific,0.844702152315549
CLICS184,Waskia,birak,BAMBOO,Nuclear Trans New Guinea,-4.57978,145.979,Pacific,0.138009530001878
CLICS169,Siroi,kem,BAMBOO,Nuclear Trans New Guinea,-5.52893,145.994,Pacific,0.956427533409422
CLICS160,Saep,guih,BAMBOO,Nuclear Trans New Guinea,-5.64812,146.078,Pacific,0.32909215631312
CLICS116,Ganglau,sʌl,BAMBOO,Nuclear Trans New Guinea,-5.57945,146.1305,Pacific,0.0213327375984925
CLICS188,Yabong,sʌlo,BAMBOO,Nuclear Trans New Guinea,-5.61718,146.2065,Pacific,0.900097474191762
CLICS139,Kolom,biŋ,BAMBOO,Nuclear Trans New Guinea,-5.57832,146.212,Pacific,0.466731304581809
CLICS130,Lemio,kʰomde,BAMBOO,Nuclear Trans New Guinea,-5.61407,146.441,Pacific,0.114572805946786