CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,latitude,longitude
igon,rempi,rmp,Nuclear Trans New Guinea,iːgon,yam,Madang Comparative Wordlists,-5.02487,145.782
halim,rerau,rea,Nuclear Trans New Guinea,halim,yam,Madang Comparative Wordlists,-5.51361,145.716
sambi,rerau,rea,Nuclear Trans New Guinea,sambi,yam,Madang Comparative Wordlists,-5.51361,145.716
kung,saep,spd,Nuclear Trans New Guinea,kuŋ,yam,Madang Comparative Wordlists,-5.64812,146.078
maleg,saep,spd,Nuclear Trans New Guinea,malɛg,yam,Madang Comparative Wordlists,-5.64812,146.078
alam,sam,snx,Nuclear Trans New Guinea,alam,yam,Madang Comparative Wordlists,-5.55572,145.813
sambi,sam,snx,Nuclear Trans New Guinea,sambi,yam,Madang Comparative Wordlists,-5.55572,145.813
ara,samosa,swm,Nuclear Trans New Guinea,ara,yam,Madang Comparative Wordlists,-5.01391,145.537
gere,samosa,swm,Nuclear Trans New Guinea,gere,yam,Madang Comparative Wordlists,-5.01391,145.537
o,saruga,sra,Nuclear Trans New Guinea,o,yam,Madang Comparative Wordlists,-5.08824,145.578
savela,saruga,sra,Nuclear Trans New Guinea,savela,yam,Madang Comparative Wordlists,-5.08824,145.578
nbo,sausi,ssj,Nuclear Trans New Guinea,nʌːbo,yam,Madang Comparative Wordlists,-5.6873,145.492
ou,sausi,ssj,Nuclear Trans New Guinea,ou,yam,Madang Comparative Wordlists,-5.6873,145.492
mark,sihan,snr,Nuclear Trans New Guinea,marʌk,yam,Madang Comparative Wordlists,-5.28029,145.574
o,sihan,snr,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.28029,145.574
siwr,sihan,snr,Nuclear Trans New Guinea,siwʌr,yam,Madang Comparative Wordlists,-5.28029,145.574
kuni,sileibi,sbq,Nuclear Trans New Guinea,kuñi,yam,Madang Comparative Wordlists,-4.98243,145.225
nam,sileibi,sbq,Nuclear Trans New Guinea,ñam,yam,Madang Comparative Wordlists,-4.98243,145.225
kakr,silopi,xsp,Nuclear Trans New Guinea,kakʌr,yam,Madang Comparative Wordlists,-5.12302,145.586
o,silopi,xsp,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.12302,145.586
hou,sinsauru,snz,Nuclear Trans New Guinea,hou,yam,Madang Comparative Wordlists,-5.64336,145.599
tebel,sinsauru,snz,Nuclear Trans New Guinea,tɛbɛl,yam,Madang Comparative Wordlists,-5.64336,145.599
marang,siroi,ssd,Nuclear Trans New Guinea,mar̃aŋ,yam,Madang Comparative Wordlists,-5.52893,145.994
ngaad,siroi,ssd,Nuclear Trans New Guinea,ŋaʔad,yam,Madang Comparative Wordlists,-5.52893,145.994
deig,sop,urw,Nuclear Trans New Guinea,deig,yam,Madang Comparative Wordlists,-5.49605,145.361
gegu,sop,urw,Nuclear Trans New Guinea,gɛːgu,yam,Madang Comparative Wordlists,-5.49605,145.361
kib,sop,urw,Nuclear Trans New Guinea,kibʌ,yam,Madang Comparative Wordlists,-5.49605,145.361
iba,sumau,six,Nuclear Trans New Guinea,iba,yam,Madang Comparative Wordlists,-5.48556,145.474
murk,sumau,six,Nuclear Trans New Guinea,murʌk,yam,Madang Comparative Wordlists,-5.48556,145.474
niomo,tauya,tya,Nuclear Trans New Guinea,niomo,yam,Madang Comparative Wordlists,-5.74255,145.366
onamo,tauya,tya,Nuclear Trans New Guinea,onamo,yam,Madang Comparative Wordlists,-5.74255,145.366
kea,ukuriguma,ukg,Nuclear Trans New Guinea,kea,yam,Madang Comparative Wordlists,-4.94407,145.514
zaberam,ukuriguma,ukg,Nuclear Trans New Guinea,zaberam,yam,Madang Comparative Wordlists,-4.94407,145.514
dembere,urigina,urg,Nuclear Trans New Guinea,dɛːmbɛrɛ,yam,Madang Comparative Wordlists,-5.58982,145.507
kome,urigina,urg,Nuclear Trans New Guinea,ko:me,yam,Madang Comparative Wordlists,-5.58982,145.507
mni,usan,wnu,Nuclear Trans New Guinea,mʌni,yam,Madang Comparative Wordlists,-4.84265,145.362
tan,usan,wnu,Nuclear Trans New Guinea,tan,yam,Madang Comparative Wordlists,-4.84265,145.362
mo,utarmbung,omo,Nuclear Trans New Guinea,mo-,yam,Madang Comparative Wordlists,-4.82756,144.924
yapara,utarmbung,omo,Nuclear Trans New Guinea,yapara-,yam,Madang Comparative Wordlists,-4.82756,144.924
kakr,utu,utu,Nuclear Trans New Guinea,kakʌr,yam,Madang Comparative Wordlists,-5.16422,145.544
o,utu,utu,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.16422,145.544
murk,uya,usu,Nuclear Trans New Guinea,murʌk,yam,Madang Comparative Wordlists,-5.32246,145.47
muru,uya,usu,Nuclear Trans New Guinea,muru,yam,Madang Comparative Wordlists,-5.32246,145.47
sabi,uyajitaya,,Nuclear Trans New Guinea,sa:bi,yam,Madang Comparative Wordlists,,
simbo,uyajitaya,,Nuclear Trans New Guinea,simbo,yam,Madang Comparative Wordlists,,
wta,uyajitaya,,Nuclear Trans New Guinea,wʌta,yam,Madang Comparative Wordlists,,
yagiya,uyajitaya,,Nuclear Trans New Guinea,yagiya,yam,Madang Comparative Wordlists,,
nangnggpimp,wadaginam,wdg,Nuclear Trans New Guinea,naŋʌːŋgᵊpɨmp,yam,Madang Comparative Wordlists,-4.52754,144.972
wagminip,wadaginam,wdg,Nuclear Trans New Guinea,waɣᵊmɨnɨp,yam,Madang Comparative Wordlists,-4.52754,144.972
dawaer,wagi,fad,Nuclear Trans New Guinea,dawær,yam,Madang Comparative Wordlists,-5.17834,145.726
ka,wagi,fad,Nuclear Trans New Guinea,ka,yam,Madang Comparative Wordlists,-5.17834,145.726
pr,wamas,wmc,Nuclear Trans New Guinea,pʌrʌ,yam,Madang Comparative Wordlists,-4.97757,145.541
sabir,wamas,wmc,Nuclear Trans New Guinea,sabir,yam,Madang Comparative Wordlists,-4.97757,145.541
kaut,wanambre,wnb,Nuclear Trans New Guinea,kaut,yam,Madang Comparative Wordlists,-4.78822,145.419
kiya,wanambre,wnb,Nuclear Trans New Guinea,kiya,yam,Madang Comparative Wordlists,-4.78822,145.419
kirang,waskia,wsk,Nuclear Trans New Guinea,ki:raŋ,yam,Madang Comparative Wordlists,-4.57978,145.979
ulang,waskia,wsk,Nuclear Trans New Guinea,u:laŋ,yam,Madang Comparative Wordlists,-4.57978,145.979
ku,watiwa,,Nuclear Trans New Guinea,ku,yam,Madang Comparative Wordlists,,
kweie,watiwa,,Nuclear Trans New Guinea,kwɛie,yam,Madang Comparative Wordlists,,
soira,waube,,Nuclear Trans New Guinea,soira,yam,Madang Comparative Wordlists,,
yakia,waube,,Nuclear Trans New Guinea,yakia,yam,Madang Comparative Wordlists,,
mi,yaben,ybm,Nuclear Trans New Guinea,mi,yam,Madang Comparative Wordlists,-4.90868,145.361
zabulamu,yaben,ybm,Nuclear Trans New Guinea,zabula:mu,yam,Madang Comparative Wordlists,-4.90868,145.361
kung,yabong,ybo,Nuclear Trans New Guinea,kuŋ,yam,Madang Comparative Wordlists,-5.61718,146.206
muleg,yabong,ybo,Nuclear Trans New Guinea,muleg,yam,Madang Comparative Wordlists,-5.61718,146.206
berang,yangulam,ynl,Nuclear Trans New Guinea,bẽraŋ,yam,Madang Comparative Wordlists,-5.52697,145.858
oo,yangulam,ynl,Nuclear Trans New Guinea,oo,yam,Madang Comparative Wordlists,-5.52697,145.858
ki,yarawata,yrw,Nuclear Trans New Guinea,kiʌ,yam,Madang Comparative Wordlists,-4.93943,145.454
di,yoidik,ydk,Nuclear Trans New Guinea,di,yam,Madang Comparative Wordlists,-4.94044,145.758
igon,yoidik,ydk,Nuclear Trans New Guinea,igon,yam,Madang Comparative Wordlists,-4.94044,145.758
afi,Agufi,,Austronesian,afi,yam,Solomon Islands Languages,,
alapa,Alu,,Austronesian,alapa,yam,Solomon Islands Languages,,
upi,Anuta,aud,Austronesian,upi,yam,Solomon Islands Languages,-11.75,169.75
uhi,Are'are (1),,Austronesian,ūhi,yam,Solomon Islands Languages,,
uhi,Are'are (2),,Austronesian,ūhi,yam,Solomon Islands Languages,,
uhi,Arosi (1),,Austronesian,uhi,yam,Solomon Islands Languages,,
uhi,Arosi (2),,Austronesian,uhi,yam,Solomon Islands Languages,,
ndungguwo,Asumboa,aua,Austronesian,nduŋguwɔ,yam,Solomon Islands Languages,-11.2969,166.499
puli,Avasö,,Austronesian,puli,yam,Solomon Islands Languages,,
auhi,Bauro (1),,Austronesian,āuhi,yam,Solomon Islands Languages,,
auhi,Bauro (2),,Austronesian,auhi,yam,Solomon Islands Languages,,
uhi,Bellona,,Austronesian,!uhi,yam,Solomon Islands Languages,,
hnufi,Blablanga,blp,Austronesian,hnufi,yam,Solomon Islands Languages,-8.15058,159.419
uwo,Buma,,Austronesian,uwɔ,yam,Solomon Islands Languages,,
uvi,Dhadhaje,,Austronesian,uvi,yam,Solomon Islands Languages,,
ifi,Dori'o,dor,Austronesian,īfi,yam,Solomon Islands Languages,-9.11536,160.897
auhi,Faghani,,Austronesian,auhi,yam,Solomon Islands Languages,,
kai,Fataleka,far,Austronesian,kai,yam,Solomon Islands Languages,-8.59041,160.861
alapa,Fauro,,Austronesian,ālapa,yam,Solomon Islands Languages,,
uvi,Ghaimuta,,Austronesian,uvi,yam,Solomon Islands Languages,,
nindi,Ghanongga,ghn,Austronesian,nindi,yam,Solomon Islands Languages,-8.02035,156.552
uvi,Ghari,gri,Austronesian,uvi,yam,Solomon Islands Languages,-9.4791,159.917
sapu,Ghone,,Austronesian,sapu,yam,Solomon Islands Languages,,
bopa,Ghove,,Austronesian,bɔpa,yam,Solomon Islands Languages,,
auhi,Haununu,,Austronesian,auhi,yam,Solomon Islands Languages,,
kane,Hoava,hoa,Austronesian,kane,yam,Solomon Islands Languages,-8.19679,157.595
oehi,Kahua,agw,Austronesian,œhi,yam,Solomon Islands Languages,-10.6963,162.191
nomba,Katazi,,Austronesian,nomba,yam,Solomon Islands Languages,,
mingono,Kazukuru,kzk,Austronesian,miŋono,yam,Solomon Islands Languages,-8.23886,157.687
kumagi,Kia,,Austronesian,kumagi,yam,Solomon Islands Languages,,
soni,Kia,,Austronesian,sɔni,yam,Solomon Islands Languages,,
nufihnavi,Kilokaka,,Austronesian,nufi hnavi,yam,Solomon Islands Languages,,
nufi,Kmagha,,Austronesian,nufi,yam,Solomon Islands Languages,,
nufi,Kokota,kkk,Austronesian,nufi,yam,Solomon Islands Languages,-8.16481,159.191
uvi,Koo,,Austronesian,uvi,yam,Solomon Islands Languages,,
kane,Kusaghe,ksg,Austronesian,kane,yam,Solomon Islands Languages,-8.04056,157.463
kai,Kwai,,Austronesian,kai,yam,Solomon Islands Languages,,
laisi,Kwaio,kwd,Austronesian,laisi,yam,Solomon Islands Languages,-8.93744,160.965
ufi,Kwaio,kwd,Austronesian,ūfi,yam,Solomon Islands Languages,-8.93744,160.965
kai,Kwara'ae,kwf,Austronesian,kai,yam,Solomon Islands Languages,-8.75779,160.804
ufi,Langalanga,,Austronesian,ūfi,yam,Solomon Islands Languages,,
kai,Lau North,,Austronesian,kai,yam,Solomon Islands Languages,,
nufi,Leleghia,,Austronesian,nufi,yam,Solomon Islands Languages,,
uvi,Lengo,lgr,Austronesian,uvi,yam,Solomon Islands Languages,-9.56425,160.42
puli,Lömaumbi,,Austronesian,puli,yam,Solomon Islands Languages,,
uvi,Longgu,lgu,Austronesian,uvi,yam,Solomon Islands Languages,-9.75258,160.663
indi,Lungga,lga,Austronesian,indi,yam,Solomon Islands Languages,-8.17469,156.573
leku,Lwepe,,Austronesian,lekü,yam,Solomon Islands Languages,,
uvi,Malagheti,,Austronesian,uvi,yam,Solomon Islands Languages,,
uvi,Malango,mln,Austronesian,uvi,yam,Solomon Islands Languages,-9.61383,160.118
leku,Malo,mla,Austronesian,lekü,yam,Solomon Islands Languages,-15.6835,167.16
@fi,Mami,,Austronesian,əfi,yam,Solomon Islands Languages,,
uhi,Marau,mvr,Austronesian,uhi,yam,Solomon Islands Languages,-1.66738,135.797
uvi,Marovo,mvo,Austronesian,uvi,yam,Solomon Islands Languages,-8.37943,157.747
kai,Mbaelelea,,Austronesian,kai,yam,Solomon Islands Languages,,
kai,Mbaengguu,,Austronesian,kai,yam,Solomon Islands Languages,,
nomba,Mbambatana,,Austronesian,nomba,yam,Solomon Islands Languages,,
uvi,Mbareke,,Austronesian,uvi,yam,Solomon Islands Languages,,
uvi,Mbirao,,Austronesian,uvi,yam,Solomon Islands Languages,,
uvi,Moli,,Austronesian,uvi,yam,Solomon Islands Languages,,
alapa,Mono,mnh,Austronesian,alapa,yam,Solomon Islands Languages,4.57915,19.8264
ndaleku,Nanggu,,Austronesian,ndalekü,yam,Solomon Islands Languages,,
uvi,Ndi,,Austronesian,uvi,yam,Solomon Islands Languages,,
mahiri,Nduke,,Austronesian,mahiri,yam,Solomon Islands Languages,,
laiegi,Nembao,,Austronesian,laiɛγi,yam,Solomon Islands Languages,,
uvi,Nggae,,Austronesian,uvi,yam,Solomon Islands Languages,,
uvi,Nggela,,Austronesian,uvi,yam,Solomon Islands Languages,,
uvi,Nggeri,,Austronesian,uvi,yam,Solomon Islands Languages,,
uvi,Nginia,,Austronesian,uvi,yam,Solomon Islands Languages,,
usi,Ontong Java,ojv,Austronesian,ūsi,yam,Solomon Islands Languages,-5.49029,159.701
uhi,Oroha,ora,Austronesian,ūhi,yam,Solomon Islands Languages,-9.7386,161.513
uvi,Paripao,,Austronesian,uvi,yam,Solomon Islands Languages,,
omomaiu,Pileni,,Austronesian,omomaiū,yam,Solomon Islands Languages,,
uvi,Poleo,,Austronesian,uvi,yam,Solomon Islands Languages,,
nufi,Poro,,Austronesian,nufi,yam,Solomon Islands Languages,,
auhi,Rawo,rwa,Austronesian,auhi,yam,Solomon Islands Languages,-2.84201,141.603
uponji,Reefs,,Austronesian,uponĵi,yam,Solomon Islands Languages,,
uhi,Rennell,,Austronesian,!uhi,yam,Solomon Islands Languages,,
auhi,Rihu'a,,Austronesian,auhi,yam,Solomon Islands Languages,,
vuru,Ririo,rri,Austronesian,vuru,yam,Solomon Islands Languages,-6.88927,156.92
zuand,Ririo,rri,Austronesian,zuand,yam,Solomon Islands Languages,-6.88927,156.92
marihi,Roviana,rug,Austronesian,marihi,yam,Solomon Islands Languages,-8.20493,157.408
uhi,Sa'a (1),,Austronesian,ūhi,yam,Solomon Islands Languages,,
uhi,Sa'a (2),,Austronesian,ūhi,yam,Solomon Islands Languages,,
kumagi,Samasodu,,Austronesian,kumagi,yam,Solomon Islands Languages,,
aufi,Santa Ana,,Austronesian,aufi,yam,Solomon Islands Languages,,
afu,Santa Catalina,,Austronesian,afu,yam,Solomon Islands Languages,,
numba,Sengga,,Austronesian,numba,yam,Solomon Islands Languages,,
uhi,Sikaiana,sky,Austronesian,uhi,yam,Solomon Islands Languages,-8.38182,162.733
uvi,Simbo,sbb,Austronesian,uvi,yam,Solomon Islands Languages,-8.26947,156.541
uvi,Talise,tlr,Austronesian,uvi,yam,Solomon Islands Languages,-9.76764,160.231
uvi,Tandai,,Austronesian,uvi,yam,Solomon Islands Languages,,
uva,Tanema,tnx,Austronesian,uva,yam,Solomon Islands Languages,-11.68,166.97
noupio,Tanimbili,,Austronesian,noupio,yam,Solomon Islands Languages,,
nufi,Tataba,,Austronesian,nufi,yam,Solomon Islands Languages,,
oehi,Tawaroga,,Austronesian,œhi,yam,Solomon Islands Languages,,
ufi,Tikopia,tkp,Austronesian,ufi,yam,Solomon Islands Languages,-12.2766,168.822
kai,To'ambaita,,Austronesian,kai,yam,Solomon Islands Languages,,
uvi,Tolo,,Austronesian,uvi,yam,Solomon Islands Languages,,
nomba,Tunöe,,Austronesian,nomba,yam,Solomon Islands Languages,,
mbazu,Ughele,uge,Austronesian,mbazu,yam,Solomon Islands Languages,-8.45725,157.341
uhi,Uki Ni Masi,,Austronesian,uhi,yam,Solomon Islands Languages,,
uhi,Ulawa,,Austronesian,ūhi,yam,Solomon Islands Languages,,
sape,Vaghua,tva,Austronesian,sape,yam,Solomon Islands Languages,-6.68712,156.542
uvi,Vangunu,mpr,Austronesian,uvi,yam,Solomon Islands Languages,-8.66826,157.997
upie,Vano,,Austronesian,upie,yam,Solomon Islands Languages,,
inggama,Varisi,vrs,Austronesian,iŋgama,yam,Solomon Islands Languages,-6.83443,156.655
kai,Walade (LauS),,Austronesian,kai,yam,Solomon Islands Languages,,
mari,Mbilua,,Bilua,mari,yam,Solomon Islands Languages,,
mari,Ndovele,,Bilua,mari,yam,Solomon Islands Languages,,
uvi,Lavukaleve,lvk,Lavukaleve,uvi,yam,Solomon Islands Languages,-9.05569,159.119
uvi,Savosavo,svs,Savosavo,uvi,yam,Solomon Islands Languages,-9.12853,159.814
mboe,Lokuru,,Touo,mbōe,yam,Solomon Islands Languages,,
mboe,Mbaniata,,Touo,mbo*e,yam,Solomon Islands Languages,,
tal@s,Ceq Wong,,Austroasiatic,taləs,the yam,The World Loanword Database,,
khoailang,Vietnamese,vie,Austroasiatic,khoai lang,the yam,The World Loanword Database,18.3887,106.757
uhi2,Hawaiian,haw,Austronesian,uhi (2),the yam,The World Loanword Database,19.6297,-155.43
ubimadu,Indonesian,ind,Austronesian,ubi madu,the yam,The World Loanword Database,-7.33458,109.716
ovy,Malagasy,plt,Austronesian,òvy,the yam,The World Loanword Database,-19.5907,47.1211
annganang,Takia,tbc,Austronesian,anŋ-anaŋ,the yam,The World Loanword Database,-4.69057,145.975
dabel,Takia,tbc,Austronesian,dabel,the yam,The World Loanword Database,-4.69057,145.975
pikurta,Gurindji,,Pama-Nyungan,pikurta,the yam,The World Loanword Database,,
dzu,Ambakich (Agurant Dialect),,Ambakich,džuʌ,yam,TransNewGuinea.org,,
dzw@,Ambakich (Agurant Dialect),,Ambakich,dʒwə,yam,TransNewGuinea.org,,
dzo,Ambakich (Arango Dialect),,Ambakich,dʒo,yam,TransNewGuinea.org,,
dz@,Ambakich (Ombos Dialect),,Ambakich,dʒə,yam,TransNewGuinea.org,,
dzo,Ambakich (Pangin Dialect),,Ambakich,dʒo,yam,TransNewGuinea.org,,
dzo,Ambakich (Yaut Dialect),,Ambakich,dʒo,yam,TransNewGuinea.org,,
ere,Amto,amt,Amto-Musan,eře,yam,TransNewGuinea.org,-4.12165,141.339
re,Amto,amt,Amto-Musan,ʌře,yam,TransNewGuinea.org,-4.12165,141.339
yare,Siawi,mmp,Amto-Musan,yařɛ,yam,TransNewGuinea.org,-4.05312,141.42
wain,Ap Ma,kbx,Ap Ma,wa̠i̠n,yam,TransNewGuinea.org,-4.35147,144.085
lgask,Qaget,,Baining,ʌ lʌg̶askʌ̠,yam,TransNewGuinea.org,,
norgi,Ura,uro,Baining,Nořʌɣi,yam,TransNewGuinea.org,-4.64226,151.953
nr@k,Ura,uro,Baining,ʌ nʌřək,yam,TransNewGuinea.org,-4.64226,151.953
nr@k,Ura,uro,Baining,nʌřək,yam,TransNewGuinea.org,-4.64226,151.953
pam,Daga,dgz,Dagan,pam,yam,TransNewGuinea.org,-9.9747,149.263
wagoro,Dima,jma,Dagan,wagoro,yam,TransNewGuinea.org,-9.70322,149.605
iyao,Maiwa,mti,Dagan,i'yaᵒ,yam,TransNewGuinea.org,-9.69836,149.274
vapole,Proto-Eleman,,Eleman,*vapole,yam,TransNewGuinea.org,,
asi,Fuyug,fuy,Goilalan,asi,yam,TransNewGuinea.org,-8.6371,147.312
kamarava,Tauade,ttd,Goilalan,kamara'va,yam,TransNewGuinea.org,-8.3486,147.094
vajaka,Ese,mcq,Koiarian,vaja|k-a,yam,TransNewGuinea.org,-9.09451,148.376
vaea,Grass Koiari,,Koiarian,vaea,yam,TransNewGuinea.org,,
vaia,Koitabu,kqi,Koiarian,vaia,yam,TransNewGuinea.org,-9.36877,147.079
vadzi,Ömie,aom,Koiarian,vadzi,yam,TransNewGuinea.org,-9.03136,148.107
vaia,Proto-Koiarian,,Koiarian,*vaia,yam,TransNewGuinea.org,,
natongo,Kol,biw,Kol (Papua New Guinea),na'toŋo,yam,TransNewGuinea.org,3.65994,12.8574
maho,Uare,ksj,Kwalean,mahɔ,yam,TransNewGuinea.org,-9.69571,147.687
weiwo,Ama,amm,Left May,we:iwɔ,yam,TransNewGuinea.org,-4.20192,141.658
wiwo,Ama,amm,Left May,wiwoʔ,yam,TransNewGuinea.org,-4.20192,141.658
kwo,Bo,bgl,Left May,kwo,yam,TransNewGuinea.org,18.1866,104.953
wo,Iteri,itr,Left May,woʔ,yam,TransNewGuinea.org,-4.11998,141.585
wo,Iteri (Rocky Peak Dialect),,Left May,wo,yam,TransNewGuinea.org,,
ubeise,Nimo,niw,Left May,ubeise,yam,TransNewGuinea.org,-4.3582,141.578
moko,Owiniga,owi,Left May,moko,yam,TransNewGuinea.org,-4.47476,141.697
moko,Owiniga,owi,Left May,moko,yam,TransNewGuinea.org,-4.47476,141.697
papaki,Angoram,aog,Lower Sepik-Ramu,papaki,yam,TransNewGuinea.org,-4.07758,144.028
khem,Banaro,byz,Lower Sepik-Ramu,kʰɛm,yam,TransNewGuinea.org,-4.56615,144.329
moaleao,Murik,mtf,Lower Sepik-Ramu,moaleao,yam,TransNewGuinea.org,-3.86959,144.166
wawiao,Murik,mtf,Lower Sepik-Ramu,wawiao,yam,TransNewGuinea.org,-3.86959,144.166
akuy,Tabriak,tzx,Lower Sepik-Ramu,akuʌy,yam,TransNewGuinea.org,-4.49162,143.593
iu,Bauwaki,bwk,Mailuan,i'u,yam,TransNewGuinea.org,-9.82577,148.815
obili,Mailu (Asiaoro Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,
obili,Mailu (Baibara Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,
obili,Mailu (Borebo Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,
obili,Mailu (Darava Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,
obili,Mailu (Delebai Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,
obili,Mailu (Domara Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,
obili,Mailu (Geagea Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,
obili,Mailu (Ilai Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,
obili,Mailu (Island Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,
kiroma,Proto-Doromu,,Manubaran,*kiroma,yam,TransNewGuinea.org,,
saisu,Proto-Doromu,,Manubaran,*saisu,yam,TransNewGuinea.org,,
kiroma,Proto-Manubaran,,Manubaran,*kiroma,yam,TransNewGuinea.org,,
saisu,Proto-Manubaran,,Manubaran,*saisu,yam,TransNewGuinea.org,,
haihu,Proto-Maria,,Manubaran,*haihu,yam,TransNewGuinea.org,,
iroma,Proto-Maria,,Manubaran,*iroma,yam,TransNewGuinea.org,,
kaumami,Gaikundi,gbf,Ndu,kaú mami,yam,TransNewGuinea.org,-4.01718,143.139
nan,Gaikundi,gbf,Ndu,ñañ,yam,TransNewGuinea.org,-4.01718,143.139
naeng,Iatmul (Brugnowi Dialect),,Ndu,ñaʔeŋ,yam,TransNewGuinea.org,,
naen,Iatmul (Kanganaman Dialect),,Ndu,ñaʔen,yam,TransNewGuinea.org,,
naeng,Iatmul (Korogo Dialect),,Ndu,ñaʔeŋ,yam,TransNewGuinea.org,,
nain,Iatmul (Tambanam Dialect),,Ndu,ñain,yam,TransNewGuinea.org,,
wuin,Abu' Arapesh,,Nuclear Torricelli,wʌʔuin,yam,TransNewGuinea.org,,
pinai,Abaga,abg,Nuclear Trans New Guinea,pi nai,yam,TransNewGuinea.org,-6.12028,145.665
abi,Alekano,gah,Nuclear Trans New Guinea,aƀi,yam,TransNewGuinea.org,-6.03901,145.387
asi,Alekano,gah,Nuclear Trans New Guinea,a-si,yam,TransNewGuinea.org,-6.03901,145.387
gasi,Alekano,gah,Nuclear Trans New Guinea,gasí,yam,TransNewGuinea.org,-6.03901,145.387
gasi,Alekano (Wanima Dialect),,Nuclear Trans New Guinea,gasí,yam,TransNewGuinea.org,,
gasi,Alekano (Wanima Dialect),,Nuclear Trans New Guinea,gasí,yam,TransNewGuinea.org,,
kwarangas,Amaimon,ali,Nuclear Trans New Guinea,kwaraŋas,yam,TransNewGuinea.org,-5.18742,145.368
