CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,latitude,longitude
m,Amaimon,ali,Nuclear Trans New Guinea,mʌ,yam,TransNewGuinea.org,-5.18742,145.368
malak,Amele,aey,Nuclear Trans New Guinea,malak,yam,TransNewGuinea.org,-5.29126,145.687
o,Amele,aey,Nuclear Trans New Guinea,ʔo,yam,TransNewGuinea.org,-5.29126,145.687
sabi,Amowe (Bere Dialect),,Nuclear Trans New Guinea,sɑbi,yam,TransNewGuinea.org,,
sabi,Amowe (Gomu Dialect),,Nuclear Trans New Guinea,sɑbi,yam,TransNewGuinea.org,,
sabi,Amowe (Tagoe Dialect),,Nuclear Trans New Guinea,sɑbi,yam,TransNewGuinea.org,,
nambang,Anam,pda,Nuclear Trans New Guinea,nambaŋ,yam,TransNewGuinea.org,-4.68869,145.051
nuza,Anam,pda,Nuclear Trans New Guinea,nuza,yam,TransNewGuinea.org,-4.68869,145.051
mumba,Anamgura,imi,Nuclear Trans New Guinea,mumba,yam,TransNewGuinea.org,-4.63762,144.991
nambmba,Anamgura,imi,Nuclear Trans New Guinea,nambʌmba,yam,TransNewGuinea.org,-4.63762,144.991
alam,Anjam,boj,Nuclear Trans New Guinea,alam,yam,TransNewGuinea.org,-5.45899,145.717
sambi,Anjam,boj,Nuclear Trans New Guinea,sambi,yam,TransNewGuinea.org,-5.45899,145.717
gunja,Apali,ena,Nuclear Trans New Guinea,ɣunja,yam,TransNewGuinea.org,-5.1727,145.023
gunja,Apali,ena,Nuclear Trans New Guinea,ɣunja,yam,TransNewGuinea.org,-5.1727,145.023
kuni,Apali,ena,Nuclear Trans New Guinea,kuni,yam,TransNewGuinea.org,-5.1727,145.023
doku,Arawum,awm,Nuclear Trans New Guinea,doku,yam,TransNewGuinea.org,-5.52787,145.903
mulangk,Arawum,awm,Nuclear Trans New Guinea,mulaŋk,yam,TransNewGuinea.org,-5.52787,145.903
debel,Asas,asd,Nuclear Trans New Guinea,dɛbɛl,yam,TransNewGuinea.org,-5.69345,145.549
hou,Asas,asd,Nuclear Trans New Guinea,hou,yam,TransNewGuinea.org,-5.69345,145.549
ma,Atemble,ate,Nuclear Trans New Guinea,ma,yam,TransNewGuinea.org,-5.08137,144.806
tuguk,Atemble,ate,Nuclear Trans New Guinea,tuguk,yam,TransNewGuinea.org,-5.08137,144.806
ahki,Awa,awb,Nuclear Trans New Guinea,ahʔki,yam,TransNewGuinea.org,-6.65534,145.714
ahweh,Awa,awb,Nuclear Trans New Guinea,ahweh',yam,TransNewGuinea.org,-6.65534,145.714
aw,Awa,awb,Nuclear Trans New Guinea,awʌ́ʔ,yam,TransNewGuinea.org,-6.65534,145.714
taawima,Awiyaana,auy,Nuclear Trans New Guinea,taawima,yam,TransNewGuinea.org,-6.54079,145.76
o,Bagupi,bpi,Nuclear Trans New Guinea,ʔo,yam,TransNewGuinea.org,-5.07778,145.632
sabel,Bagupi,bpi,Nuclear Trans New Guinea,sabɛl,yam,TransNewGuinea.org,-5.07778,145.632
murak,Baimak,bmx,Nuclear Trans New Guinea,murak,yam,TransNewGuinea.org,-5.18943,145.606
o,Baimak,bmx,Nuclear Trans New Guinea,ɔ,yam,TransNewGuinea.org,-5.18943,145.606
al,Bargam,mlp,Nuclear Trans New Guinea,al,yam,TransNewGuinea.org,-4.8723,145.756
zabel,Bargam,mlp,Nuclear Trans New Guinea,zabel,yam,TransNewGuinea.org,-4.8723,145.756
marak,Bau,bbd,Nuclear Trans New Guinea,marak,yam,TransNewGuinea.org,-5.26465,145.611
o,Bau,bbd,Nuclear Trans New Guinea,ʔo:,yam,TransNewGuinea.org,-5.26465,145.611
avi,Benabena,bef,Nuclear Trans New Guinea,ávi,yam,TransNewGuinea.org,-6.09974,145.534
meeb,Bepour,bie,Nuclear Trans New Guinea,meʔeb,yam,TransNewGuinea.org,-4.5985,145.442
oro,Bepour,bie,Nuclear Trans New Guinea,ɔrɔʔ,yam,TransNewGuinea.org,-4.5985,145.442
m,Bilakura,bql,Nuclear Trans New Guinea,mʌː,yam,TransNewGuinea.org,-4.93116,145.559
sabulam,Bilakura,bql,Nuclear Trans New Guinea,sabulam,yam,TransNewGuinea.org,-4.93116,145.559
wan,Bimin,bhl,Nuclear Trans New Guinea,wan,yam,TransNewGuinea.org,-5.38732,142.04
wan,Bimin (Fagobiw Dialect),,Nuclear Trans New Guinea,wan,yam,TransNewGuinea.org,,
wan,Bimin (Sengen Dialect),,Nuclear Trans New Guinea,wan,yam,TransNewGuinea.org,,
kawi,Bisorio (Iniai Dialect),,Nuclear Trans New Guinea,kawi,yam,TransNewGuinea.org,,
manggri,Biyom,bpm,Nuclear Trans New Guinea,maŋgrʌi,yam,TransNewGuinea.org,-5.79929,145.348
yanu,Biyom,bpm,Nuclear Trans New Guinea,yanu,yam,TransNewGuinea.org,-5.79929,145.348
alam,Bongu,bpu,Nuclear Trans New Guinea,alam,yam,TransNewGuinea.org,-5.50519,145.806
ayan,Bongu,bpu,Nuclear Trans New Guinea,ayan,yam,TransNewGuinea.org,-5.50519,145.806
kainda,Bongu,bpu,Nuclear Trans New Guinea,kainda,yam,TransNewGuinea.org,-5.50519,145.806
sambi,Bongu,bpu,Nuclear Trans New Guinea,sambi,yam,TransNewGuinea.org,-5.50519,145.806
oran,Brem,buq,Nuclear Trans New Guinea,oran,yam,TransNewGuinea.org,-4.67372,145.562
singgua,Brem,buq,Nuclear Trans New Guinea,siŋgua,yam,TransNewGuinea.org,-4.67372,145.562
dabr,Danaru,dnr,Nuclear Trans New Guinea,dabr,yam,TransNewGuinea.org,-5.53634,145.457
gou,Danaru,dnr,Nuclear Trans New Guinea,gou,yam,TransNewGuinea.org,-5.53634,145.457
gasa,Dano (Asaro Dialect),,Nuclear Trans New Guinea,gása,yam,TransNewGuinea.org,,
gvsa,Dano (Asaro Dialect),,Nuclear Trans New Guinea,ǥʌᵛsa,yam,TransNewGuinea.org,,
amu,Enga (Lapalama Dialect),,Nuclear Trans New Guinea,amu,yam,TransNewGuinea.org,,
amu,Enga (Lapalama Dialect),,Nuclear Trans New Guinea,amu,yam,TransNewGuinea.org,,
amu,Enga (Sari Dialect),,Nuclear Trans New Guinea,amu,yam,TransNewGuinea.org,,
amu,Enga (Wapi Dialect),,Nuclear Trans New Guinea,amu,yam,TransNewGuinea.org,,
imba,Faita,faj,Nuclear Trans New Guinea,imba,yam,TransNewGuinea.org,-5.59947,145.298
wem,Faita,faj,Nuclear Trans New Guinea,wem,yam,TransNewGuinea.org,-5.59947,145.298
wan,Faiwol (Dimtikin Dialect),,Nuclear Trans New Guinea,wɑn,yam,TransNewGuinea.org,,
thbi,Faiwol (Lowbip Dialect),,Nuclear Trans New Guinea,tʰʌbi,yam,TransNewGuinea.org,,
wandum,Faiwol (Selbang Dialect),,Nuclear Trans New Guinea,wɑndum,yam,TransNewGuinea.org,,
ago,Fore,for,Nuclear Trans New Guinea,ágo,yam,TransNewGuinea.org,-6.64473,145.507
araba,Fore,for,Nuclear Trans New Guinea,a:raba:,yam,TransNewGuinea.org,-6.64473,145.507
obai,Gadsup,gaj,Nuclear Trans New Guinea,obai,yam,TransNewGuinea.org,-6.31631,145.997
au,Gal,gap,Nuclear Trans New Guinea,au,yam,TransNewGuinea.org,-5.16351,145.623
murak,Gal,gap,Nuclear Trans New Guinea,murak,yam,TransNewGuinea.org,-5.16351,145.623
kung,Ganglau,ggl,Nuclear Trans New Guinea,kuŋ,yam,TransNewGuinea.org,-5.57945,146.13
mleg,Ganglau,ggl,Nuclear Trans New Guinea,mleg,yam,TransNewGuinea.org,-5.57945,146.13
davel,Garus,gyb,Nuclear Trans New Guinea,davɛl,yam,TransNewGuinea.org,-4.9222,145.683
igon,Garus,gyb,Nuclear Trans New Guinea,igon,yam,TransNewGuinea.org,-4.9222,145.683
dibil,Gavak,,Nuclear Trans New Guinea,dibil,yam,TransNewGuinea.org,,
kia,Gavak,,Nuclear Trans New Guinea,kia,yam,TransNewGuinea.org,,
kambai,Gende,gaf,Nuclear Trans New Guinea,kambai,yam,TransNewGuinea.org,-5.67528,145.177
kambai,Gende,gaf,Nuclear Trans New Guinea,kambai,yam,TransNewGuinea.org,-5.67528,145.177
ago,Gimi,gim,Nuclear Trans New Guinea,ago,yam,TransNewGuinea.org,-6.42097,145.214
bor,Girawa,bbr,Nuclear Trans New Guinea,bɔːr,yam,TransNewGuinea.org,-5.35342,145.423
mura,Girawa,bbr,Nuclear Trans New Guinea,mura,yam,TransNewGuinea.org,-5.35342,145.423
malk,Gumalu,gmu,Nuclear Trans New Guinea,malʌk,yam,TransNewGuinea.org,-5.22189,145.618
o,Gumalu,gmu,Nuclear Trans New Guinea,o,yam,TransNewGuinea.org,-5.22189,145.618
hagu,Yagaria (Hua Dialect),,Nuclear Trans New Guinea,ha'gu,yam,TransNewGuinea.org,,
avi,Inoke-Yate,ino,Nuclear Trans New Guinea,avi,yam,TransNewGuinea.org,-6.32311,145.539
k,Isabi,isa,Nuclear Trans New Guinea,kʌ,yam,TransNewGuinea.org,-5.83809,145.462
nmo,Isabi,isa,Nuclear Trans New Guinea,nʌːmo,yam,TransNewGuinea.org,-5.83809,145.462
marg,Isebe,igo,Nuclear Trans New Guinea,marʌg,yam,TransNewGuinea.org,-5.20719,145.691
o,Isebe,igo,Nuclear Trans New Guinea,ʔo,yam,TransNewGuinea.org,-5.20719,145.691
alim,Jilim,jil,Nuclear Trans New Guinea,alim,yam,TransNewGuinea.org,-5.56611,145.706
alim,Jilim,jil,Nuclear Trans New Guinea,alim,yam,TransNewGuinea.org,-5.56611,145.706
pd,Kalam,kmh,Nuclear Trans New Guinea,pd,yam,TransNewGuinea.org,-5.25216,144.585
avi,Kamano,kbq,Nuclear Trans New Guinea,ávi,yam,TransNewGuinea.org,-6.25829,145.728
kerru,Kare,kbn,Nuclear Trans New Guinea,kɛrʌːru,yam,TransNewGuinea.org,7.05641,15.2207
mainda,Kare,kbn,Nuclear Trans New Guinea,mainda,yam,TransNewGuinea.org,7.05641,15.2207
l,Kein,bmh,Nuclear Trans New Guinea,ʌl,yam,TransNewGuinea.org,-5.3373,145.483
mer,Kein,bmh,Nuclear Trans New Guinea,mɛr,yam,TransNewGuinea.org,-5.3373,145.483
nhe,Kesawai,xes,Nuclear Trans New Guinea,nʌhe,yam,TransNewGuinea.org,-5.76797,145.58
ou,Kesawai,xes,Nuclear Trans New Guinea,ou,yam,TransNewGuinea.org,-5.76797,145.58
mena,Kobol,kgu,Nuclear Trans New Guinea,mɛna,yam,TransNewGuinea.org,-4.79614,145.284
soborom,Kobol,kgu,Nuclear Trans New Guinea,sobor̃om,yam,TransNewGuinea.org,-4.79614,145.284
fonth,Kobon,kpw,Nuclear Trans New Guinea,ɸontʰ,yam,TransNewGuinea.org,-5.16446,144.46
pod,Kobon,kpw,Nuclear Trans New Guinea,pöd,yam,TransNewGuinea.org,-5.16446,144.46
nabo,Komba (Ândâ River Dialect),,Nuclear Trans New Guinea,nabo,yam,TransNewGuinea.org,,
aako,Komba (Gwama River (North) Dialect),,Nuclear Trans New Guinea,aako,yam,TransNewGuinea.org,,
nabo,Komba (Gwama River (South) Dialect),,Nuclear Trans New Guinea,nabo,yam,TransNewGuinea.org,,
tambai,Komba (Puleng River Dialect),,Nuclear Trans New Guinea,tâmbâi,yam,TransNewGuinea.org,,
sosonga,Korak,koz,Nuclear Trans New Guinea,sosoŋa,yam,TransNewGuinea.org,-4.5998,145.514
wl,Korak,koz,Nuclear Trans New Guinea,wʌl,yam,TransNewGuinea.org,-4.5998,145.514
mreb,Kowaki,xow,Nuclear Trans New Guinea,mʌrɛb,yam,TransNewGuinea.org,-4.63032,145.412
neizab,Kowaki,xow,Nuclear Trans New Guinea,neizab,yam,TransNewGuinea.org,-4.63032,145.412
kom,Kuman,kue,Nuclear Trans New Guinea,kom,yam,TransNewGuinea.org,-5.90586,144.977
amu,Kyaka,kyc,Nuclear Trans New Guinea,amu,yam,TransNewGuinea.org,-5.52462,144.119
inapo,Lembena,leq,Nuclear Trans New Guinea,inapo,yam,TransNewGuinea.org,-4.99504,143.891
inabo,Lembena (Maibi Dialect),,Nuclear Trans New Guinea,i'naβo,yam,TransNewGuinea.org,,
jebera,Lembena (Yariba Dialect),,Nuclear Trans New Guinea,jɛ'βɛɽa,yam,TransNewGuinea.org,,
kou,Lemio,lei,Nuclear Trans New Guinea,kou,yam,TransNewGuinea.org,-5.61407,146.441
kuep,Lemio,lei,Nuclear Trans New Guinea,kuep,yam,TransNewGuinea.org,-5.61407,146.441
kayab,Maia (Pila Dialect),,Nuclear Trans New Guinea,kayab,yam,TransNewGuinea.org,,
wangay,Maia (Pila Dialect),,Nuclear Trans New Guinea,waŋay,yam,TransNewGuinea.org,,
kayab,Maia (Saki Dialect),,Nuclear Trans New Guinea,kayab,yam,TransNewGuinea.org,,
wanga,Maia (Saki Dialect),,Nuclear Trans New Guinea,waŋa,yam,TransNewGuinea.org,,
r,Mala,ped,Nuclear Trans New Guinea,ʌr̃ʌ,yam,TransNewGuinea.org,-4.35889,145.04
susogi,Mala,ped,Nuclear Trans New Guinea,susogi,yam,TransNewGuinea.org,-4.35889,145.04
kibinem,Malas,mkr,Nuclear Trans New Guinea,kibinɛm,yam,TransNewGuinea.org,-4.76685,145.621
yinyim,Malas,mkr,Nuclear Trans New Guinea,yinyim,yam,TransNewGuinea.org,-4.76685,145.621
alam,Male,mdc,Nuclear Trans New Guinea,alam,yam,TransNewGuinea.org,-5.49975,145.757
sambi,Male,mdc,Nuclear Trans New Guinea,sambi,yam,TransNewGuinea.org,-5.49975,145.757
murg,Matepi,mqe,Nuclear Trans New Guinea,mur̃ʌːg,yam,TransNewGuinea.org,-5.13857,145.617
o,Matepi,mqe,Nuclear Trans New Guinea,Ø,yam,TransNewGuinea.org,-5.13857,145.617
ibok,Mauwake,mhl,Nuclear Trans New Guinea,ibokʌ,yam,TransNewGuinea.org,-4.52416,145.394
oloba,Mauwake,mhl,Nuclear Trans New Guinea,oloba,yam,TransNewGuinea.org,-4.52416,145.394
mareb,Mawak,mjj,Nuclear Trans New Guinea,mareb,yam,TransNewGuinea.org,-4.61817,145.283
sab,Mawak,mjj,Nuclear Trans New Guinea,sab,yam,TransNewGuinea.org,-4.61817,145.283
murak,Mawan,mcz,Nuclear Trans New Guinea,murak,yam,TransNewGuinea.org,-5.2219,145.589
o,Mawan,mcz,Nuclear Trans New Guinea,Ø:,yam,TransNewGuinea.org,-5.2219,145.589
ayab,Miani,pla,Nuclear Trans New Guinea,ayab,yam,TransNewGuinea.org,-4.42116,145.276
wanaz,Miani,pla,Nuclear Trans New Guinea,wanaz,yam,TransNewGuinea.org,-4.42116,145.276
mecg,Migabac,mpp,Nuclear Trans New Guinea,mecg,yam,TransNewGuinea.org,-6.33237,147.713
beb,Migum,klm,Nuclear Trans New Guinea,beb,yam,TransNewGuinea.org,-5.57832,146.212
nai,Migum,klm,Nuclear Trans New Guinea,ñai,yam,TransNewGuinea.org,-5.57832,146.212
isieb,Moere,mvq,Nuclear Trans New Guinea,isieb,yam,TransNewGuinea.org,-4.62246,145.458
kinin,Moere,mvq,Nuclear Trans New Guinea,kinin,yam,TransNewGuinea.org,-4.62246,145.458
momok,Moresada,msx,Nuclear Trans New Guinea,mɔmɔk,yam,TransNewGuinea.org,-4.57497,144.988
yambb,Moresada,msx,Nuclear Trans New Guinea,yambʌb,yam,TransNewGuinea.org,-4.57497,144.988
br,Mosimo,mqv,Nuclear Trans New Guinea,ʔbʌrʌ,yam,TransNewGuinea.org,-4.95226,145.605
sabili,Mosimo,mqv,Nuclear Trans New Guinea,sabili,yam,TransNewGuinea.org,-4.95226,145.605
konzo,Mum,kqa,Nuclear Trans New Guinea,konzo,yam,TransNewGuinea.org,-4.83462,145.059
kunja,Mum,kqa,Nuclear Trans New Guinea,kunja,yam,TransNewGuinea.org,-4.83462,145.059
nambara,Mum,kqa,Nuclear Trans New Guinea,ñambara,yam,TransNewGuinea.org,-4.83462,145.059
nana,Mum,kqa,Nuclear Trans New Guinea,ñaña,yam,TransNewGuinea.org,-4.83462,145.059
tute,Mungkip,mpv,Nuclear Trans New Guinea,tutɛ,yam,TransNewGuinea.org,-6.46208,146.747
kakli,Munit,mtc,Nuclear Trans New Guinea,kakʌːli,yam,TransNewGuinea.org,-5.24329,145.548
memi,Munit,mtc,Nuclear Trans New Guinea,memi,yam,TransNewGuinea.org,-5.24329,145.548
nemi,Munit,mtc,Nuclear Trans New Guinea,nemi,yam,TransNewGuinea.org,-5.24329,145.548
gamg,Murupi,mqw,Nuclear Trans New Guinea,gamʌg,yam,TransNewGuinea.org,-5.0245,145.606
sabela,Murupi,mqw,Nuclear Trans New Guinea,sabɛla,yam,TransNewGuinea.org,-5.0245,145.606
ibu,Musak,mmq,Nuclear Trans New Guinea,iːbʉ,yam,TransNewGuinea.org,-5.37407,145.197
sabr,Musak,mmq,Nuclear Trans New Guinea,sabʌr,yam,TransNewGuinea.org,-5.37407,145.197
hep,Musar,mmi,Nuclear Trans New Guinea,heʌp,yam,TransNewGuinea.org,-4.70258,145.413
saneng,Musar,mmi,Nuclear Trans New Guinea,sa:neŋ,yam,TransNewGuinea.org,-4.70258,145.413
mohoq,Nakame (Dzenzen Dialect),,Nuclear Trans New Guinea,mohoq,yam,TransNewGuinea.org,,
tute,Nakame (Munguleng Dialect),,Nuclear Trans New Guinea,tu·te,yam,TransNewGuinea.org,,
tute,Nakame (Popof Dialect),,Nuclear Trans New Guinea,tute,yam,TransNewGuinea.org,,
miseak,Nakame (Sikalan Dialect),,Nuclear Trans New Guinea,mɨsɛak,yam,TransNewGuinea.org,,
mohoq,Nakame (Sokan Dialect),,Nuclear Trans New Guinea,mohoq,yam,TransNewGuinea.org,,
mohoq,Nakame (Wasin Dialect),,Nuclear Trans New Guinea,mohoq,yam,TransNewGuinea.org,,
o,Nake,nbk,Nuclear Trans New Guinea,ʔo,yam,TransNewGuinea.org,-5.09087,145.655
savel,Nake,nbk,Nuclear Trans New Guinea,savɛl,yam,TransNewGuinea.org,-5.09087,145.655
tot,Nek (Goambot Dialect),,Nuclear Trans New Guinea,tot,yam,TransNewGuinea.org,,
awije,Nend,anh,Nuclear Trans New Guinea,awije,yam,TransNewGuinea.org,-5.04271,144.886
unsa,Nend,anh,Nuclear Trans New Guinea,unsa,yam,TransNewGuinea.org,-5.04271,144.886
unza,Nend,anh,Nuclear Trans New Guinea,unʑa,yam,TransNewGuinea.org,-5.04271,144.886
au,Nobonob,gaw,Nuclear Trans New Guinea,au,yam,TransNewGuinea.org,-5.06952,145.712
daber,Nobonob,gaw,Nuclear Trans New Guinea,dabɛr̃,yam,TransNewGuinea.org,-5.06952,145.712
namb@t,Nuk (Tamben Dialect),,Nuclear Trans New Guinea,nɑmbət,yam,TransNewGuinea.org,,
n@mbet,Nuk (Tunam Dialect),,Nuclear Trans New Guinea,nəmbɛt,yam,TransNewGuinea.org,,
hambi,Ogea,eri,Nuclear Trans New Guinea,ha:mbi,yam,TransNewGuinea.org,-5.37766,145.71
mona,Ogea,eri,Nuclear Trans New Guinea,moña,yam,TransNewGuinea.org,-5.37766,145.71
me,Pal,abw,Nuclear Trans New Guinea,mɛ,yam,TransNewGuinea.org,-4.756,145.24
touna,Pal,abw,Nuclear Trans New Guinea,touna,yam,TransNewGuinea.org,-4.756,145.24
mr,Pamosu,hih,Nuclear Trans New Guinea,mʌr,yam,TransNewGuinea.org,-4.69874,145.288
obut,Pamosu,hih,Nuclear Trans New Guinea,obut,yam,TransNewGuinea.org,-4.69874,145.288
malg,Panim,pnr,Nuclear Trans New Guinea,malʌg,yam,TransNewGuinea.org,-5.21388,145.752
o,Panim,pnr,Nuclear Trans New Guinea,o:,yam,TransNewGuinea.org,-5.21388,145.752
ki,Parawen,prw,Nuclear Trans New Guinea,kiʌ,yam,TransNewGuinea.org,-5.0112,145.418
koutu,Parawen,prw,Nuclear Trans New Guinea,koutu,yam,TransNewGuinea.org,-5.0112,145.418
saburama,Parawen,prw,Nuclear Trans New Guinea,sabura:ma,yam,TransNewGuinea.org,-5.0112,145.418
agati,Paynamar,pmr,Nuclear Trans New Guinea,agati,yam,TransNewGuinea.org,-4.94303,144.879
unza,Paynamar,pmr,Nuclear Trans New Guinea,unza,yam,TransNewGuinea.org,-4.94303,144.879
kunza,Proto-Central-Sogeram,,Nuclear Trans New Guinea,*kunza,yam,TransNewGuinea.org,,
kou,Proto-Croisilles,,Nuclear Trans New Guinea,*kou,yam,TransNewGuinea.org,,
sambi,Proto-Croisilles,,Nuclear Trans New Guinea,*sambi,yam,TransNewGuinea.org,,
kau,Proto-Mabuso,,Nuclear Trans New Guinea,*kau,yam,TransNewGuinea.org,,
kou,Proto-Rai-Coast,,Nuclear Trans New Guinea,*kou,yam,TransNewGuinea.org,,
sabi,Proto-Rai-Coast,,Nuclear Trans New Guinea,*sabi,yam,TransNewGuinea.org,,
sambi,Proto-Rai-Coast,,Nuclear Trans New Guinea,*sambi,yam,TransNewGuinea.org,,
kunsa,Proto-Sogeram,,Nuclear Trans New Guinea,*kunsa,yam,TransNewGuinea.org,,
nambara,Proto-South-Adelbert,,Nuclear Trans New Guinea,*ñambara,yam,TransNewGuinea.org,,
isiab,Proto-Tibor-Omosa,,Nuclear Trans New Guinea,*isiab,yam,TransNewGuinea.org,,
unsa,Proto-Western-Sogeram,,Nuclear Trans New Guinea,*unsa,yam,TransNewGuinea.org,,
kamu,Pulabu,pup,Nuclear Trans New Guinea,ka:mu,yam,TransNewGuinea.org,-5.59558,145.738
munggli,Pulabu,pup,Nuclear Trans New Guinea,muŋgʌli,yam,TransNewGuinea.org,-5.59558,145.738
igon,Rapting,rpt,Nuclear Trans New Guinea,igon,yam,TransNewGuinea.org,-4.99351,145.671
tawel,Rapting,rpt,Nuclear Trans New Guinea,tawɛl,yam,TransNewGuinea.org,-4.99351,145.671
di,Rempi,rmp,Nuclear Trans New Guinea,diː,yam,TransNewGuinea.org,-5.02487,145.782
igon,Rempi,rmp,Nuclear Trans New Guinea,iːgon,yam,TransNewGuinea.org,-5.02487,145.782
halim,Rerau,rea,Nuclear Trans New Guinea,halim,yam,TransNewGuinea.org,-5.51361,145.716
sambi,Rerau,rea,Nuclear Trans New Guinea,sambi,yam,TransNewGuinea.org,-5.51361,145.716
kung,Saep,spd,Nuclear Trans New Guinea,kuŋ,yam,TransNewGuinea.org,-5.64812,146.078
maleg,Saep,spd,Nuclear Trans New Guinea,malɛg,yam,TransNewGuinea.org,-5.64812,146.078
alam,Sam,snx,Nuclear Trans New Guinea,alam,yam,TransNewGuinea.org,-5.55572,145.813
sambi,Sam,snx,Nuclear Trans New Guinea,sambi,yam,TransNewGuinea.org,-5.55572,145.813
sambi,Sam (Buan Dialect),,Nuclear Trans New Guinea,sambi,yam,TransNewGuinea.org,,
sambi,Sam (Songum Dialect),,Nuclear Trans New Guinea,sambi,yam,TransNewGuinea.org,,
sambi,Sam (Wongbe Dialect),,Nuclear Trans New Guinea,sambi,yam,TransNewGuinea.org,,
ara,Samosa,swm,Nuclear Trans New Guinea,ara,yam,TransNewGuinea.org,-5.01391,145.537
gere,Samosa,swm,Nuclear Trans New Guinea,gere,yam,TransNewGuinea.org,-5.01391,145.537
o,Saruga,sra,Nuclear Trans New Guinea,o,yam,TransNewGuinea.org,-5.08824,145.578
savela,Saruga,sra,Nuclear Trans New Guinea,savela,yam,TransNewGuinea.org,-5.08824,145.578
nbo,Sausi,ssj,Nuclear Trans New Guinea,nʌːbo,yam,TransNewGuinea.org,-5.6873,145.492
ou,Sausi,ssj,Nuclear Trans New Guinea,ou,yam,TransNewGuinea.org,-5.6873,145.492
wan,Setaman (Baktamin Dialect),,Nuclear Trans New Guinea,wɑn,yam,TransNewGuinea.org,,
dakas,Setaman (Ngisokabip Dialect),,Nuclear Trans New Guinea,dɑkɑs,yam,TransNewGuinea.org,,
dakas,Setaman (Seltamin Dialect),,Nuclear Trans New Guinea,dɑkɑs,yam,TransNewGuinea.org,,
ka,Siane,snp,Nuclear Trans New Guinea,ka,yam,TransNewGuinea.org,-6.13188,145.247
ka,Siane,snp,Nuclear Trans New Guinea,ká,yam,TransNewGuinea.org,-6.13188,145.247
gasa,Siane (Kovena Dialect),,Nuclear Trans New Guinea,gasa,yam,TransNewGuinea.org,,
mark,Sihan,snr,Nuclear Trans New Guinea,marʌk,yam,TransNewGuinea.org,-5.28029,145.574
o,Sihan,snr,Nuclear Trans New Guinea,ʔo,yam,TransNewGuinea.org,-5.28029,145.574
siwr,Sihan,snr,Nuclear Trans New Guinea,siwʌr,yam,TransNewGuinea.org,-5.28029,145.574
kuni,Sileibi,sbq,Nuclear Trans New Guinea,kuñi,yam,TransNewGuinea.org,-4.98243,145.225
nam,Sileibi,sbq,Nuclear Trans New Guinea,ñam,yam,TransNewGuinea.org,-4.98243,145.225
kakr,Silopi,xsp,Nuclear Trans New Guinea,kakʌr,yam,TransNewGuinea.org,-5.12302,145.586
o,Silopi,xsp,Nuclear Trans New Guinea,ʔo,yam,TransNewGuinea.org,-5.12302,145.586
hou,Sinsauru,snz,Nuclear Trans New Guinea,hou,yam,TransNewGuinea.org,-5.64336,145.599
tebel,Sinsauru,snz,Nuclear Trans New Guinea,tɛbɛl,yam,TransNewGuinea.org,-5.64336,145.599
marang,Siroi,ssd,Nuclear Trans New Guinea,mar̃aŋ,yam,TransNewGuinea.org,-5.52893,145.994
ngaad,Siroi,ssd,Nuclear Trans New Guinea,ŋaʔad,yam,TransNewGuinea.org,-5.52893,145.994
medeng,Som,smc,Nuclear Trans New Guinea,mɛdᵋʌŋ,yam,TransNewGuinea.org,-6.07366,146.651
